tree depth,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5,1.083544741,1.087920589,1.086406557,1.073333727,1.075845807,1.073642024,1.064252056,1.041873007,1.05777067,1.034833795,1.050977932,1.027122144,1.028241381,1.016501652,1.020911671,1.019934134,1.014060929,1.016725202,1.015257327,1.021490922,1.011725867,1.016976248,1.01340297,1.021789965,1.020678374,1.013165135
6,0.948986852,0.943200167,0.946313195,0.944509339,0.931341182,0.932867073,0.922812761,0.926652019,0.916763087,0.913457683,0.913600529,0.902465413,0.895878766,0.894129404,0.894807426,0.895415247,0.889242718,0.898019517,0.88917535,0.884137116,0.882757677,0.889965079,0.888771425,0.882262952,0.887356507,0.882854297
7,0.836637938,0.836884038,0.838473507,0.823959083,0.829592436,0.826167475,0.82086262,0.813514592,0.808311961,0.81324277,0.808977616,0.804282461,0.801854945,0.790827541,0.795427211,0.794096324,0.798811867,0.796820481,0.789160644,0.79308753,0.789778927,0.784691107,0.790075128,0.791671268,0.785390293,0.788104056
8,0.750082748,0.744924295,0.748115832,0.743700863,0.738467504,0.743293839,0.735936457,0.733775832,0.734047991,0.723993744,0.723358874,0.715594014,0.713128227,0.715511942,0.716772551,0.711161156,0.713216958,0.711498429,0.706945281,0.712254107,0.709711929,0.709139721,0.713905743,0.709892113,0.706393054,0.713605096
9,0.676189902,0.679637273,0.67240659,0.673329871,0.675583129,0.665313552,0.668172436,0.663803304,0.665604767,0.660205348,0.658884472,0.657246837,0.651305918,0.651230919,0.649485296,0.649525361,0.650333259,0.646329202,0.648771499,0.646885706,0.650788144,0.647746166,0.649818603,0.652448848,0.64413639,0.647186681
10,0.620670259,0.619202329,0.619968428,0.617649906,0.614899633,0.610405671,0.612780841,0.612280424,0.608606424,0.604020073,0.60656714,0.603908504,0.605077605,0.602623676,0.598684858,0.602438663,0.60113133,0.601952398,0.602526067,0.600976945,0.598632135,0.597661314,0.602379638,0.602858117,0.599753278,0.601618445
11,0.578910904,0.575013055,0.57478604,0.571993647,0.575393626,0.574999713,0.570550416,0.566660149,0.569156965,0.566326996,0.566565676,0.563888659,0.563344526,0.566211596,0.56411075,0.560590249,0.565314227,0.562639612,0.565244204,0.564299451,0.566158985,0.566438663,0.56521607,0.566248912,0.563524109,0.56393818
12,0.540894566,0.544322001,0.542114208,0.540821501,0.541223756,0.540704843,0.538594806,0.539926811,0.540656728,0.5396353,0.536689639,0.53677001,0.535010504,0.537154573,0.535624938,0.538593482,0.537592315,0.538955944,0.534341378,0.538646312,0.535827612,0.537154926,0.539967495,0.539481103,0.540299584,0.540139427
13,0.515959137,0.516309146,0.519039715,0.518630488,0.518350471,0.515378146,0.514836196,0.5170005,0.51889713,0.514985685,0.516464966,0.517651839,0.514374239,0.520138011,0.517629121,0.516257285,0.519749577,0.521039245,0.519194178,0.520129786,0.520590758,0.519699117,0.518770148,0.517622646,0.519638694,0.519875445
14,0.496370879,0.499200033,0.498798927,0.502242278,0.498765769,0.499999594,0.500546632,0.501047088,0.50020201,0.503002375,0.503484927,0.500083858,0.502630759,0.499971618,0.502303216,0.501014421,0.503627158,0.503925878,0.504916482,0.50767634,0.506771262,0.506356086,0.507287249,0.511477073,0.508699156,0.507939756
15,0.48278806,0.48080052,0.486917209,0.486937052,0.490289553,0.488716975,0.489928844,0.49225015,0.490208792,0.492166005,0.488670762,0.49412182,0.492941132,0.494603314,0.492570776,0.495692328,0.49270145,0.495151262,0.494612353,0.498433537,0.497899771,0.497636004,0.498311089,0.501682716,0.500125635,0.50085172
16,0.475890856,0.475148239,0.478125537,0.476885474,0.479977979,0.482105058,0.480122689,0.480466025,0.479709865,0.483440461,0.484250063,0.482671583,0.483601613,0.485218614,0.486852364,0.48697174,0.487932716,0.488688755,0.490123492,0.49015331,0.491961165,0.492966547,0.49461203,0.493858181,0.492905563,0.492357716
17,0.471427427,0.46819884,0.470267242,0.470541731,0.474271648,0.471293257,0.475025761,0.476608299,0.479668436,0.478064212,0.480889163,0.478881891,0.481222722,0.483802103,0.483402048,0.482986034,0.48473881,0.485610522,0.487292423,0.487356691,0.489342492,0.488779544,0.486877433,0.489836477,0.49083242,0.494538765
18,0.46307108,0.46467887,0.465825476,0.466754123,0.468052408,0.471648919,0.472015999,0.474238487,0.473169186,0.474876816,0.476133,0.477409475,0.478213034,0.48014139,0.479612159,0.479982332,0.481103311,0.482993327,0.484283215,0.48659392,0.486346806,0.486544458,0.488921379,0.489402308,0.487221333,0.48967788
19,0.460499255,0.461568303,0.463953798,0.463001088,0.46697453,0.47029269,0.469834261,0.471069525,0.471395037,0.472996072,0.47275573,0.475579647,0.47743619,0.478484712,0.480044799,0.479584517,0.480492334,0.483888158,0.482776193,0.485057804,0.482825258,0.484722546,0.487260615,0.487534601,0.488251244,0.487221651
20,0.458091579,0.458578332,0.463615828,0.462533825,0.466358864,0.465845058,0.467635626,0.470375911,0.469257979,0.47385375,0.472894863,0.474573158,0.475031629,0.478689698,0.479803748,0.477928368,0.480036831,0.479772018,0.483185517,0.482941975,0.483470572,0.487165879,0.48474348,0.488993422,0.49066119,0.48419635
21,0.455311323,0.460124993,0.462585303,0.461949764,0.462393429,0.466750921,0.468788746,0.469528289,0.467633644,0.472204715,0.470403324,0.475030659,0.475037106,0.478907788,0.477274367,0.477515144,0.481995068,0.481120062,0.480616668,0.480494875,0.480614379,0.485639324,0.485932093,0.486785823,0.487460618,0.488498496
22,0.454065851,0.458754301,0.46196771,0.464408379,0.465920611,0.466471583,0.468121754,0.471627531,0.470965602,0.474551438,0.474543549,0.472950544,0.477881028,0.477098573,0.478017592,0.47813687,0.479480738,0.481517225,0.482411752,0.48178336,0.481059415,0.479810431,0.484843211,0.484441988,0.489135634,0.489237224
23,0.458909211,0.457797635,0.46034342,0.465116643,0.46044559,0.465393718,0.46536906,0.467426221,0.469122218,0.470965308,0.473499101,0.474136686,0.475208406,0.476889156,0.47679983,0.477618735,0.481311149,0.481703592,0.48091612,0.486020133,0.483140268,0.483175623,0.484008191,0.486226302,0.485274028,0.488380877
24,0.454257611,0.456341452,0.460979697,0.462839753,0.46271543,0.463520127,0.468005228,0.468576614,0.469890269,0.472437369,0.473150995,0.475085962,0.475050854,0.477093993,0.478512626,0.478602752,0.481845617,0.480451135,0.483454033,0.482747294,0.4823068,0.484093541,0.48731803,0.485078475,0.486846425,0.485639615
25,0.457869988,0.458332409,0.459025267,0.464592972,0.464048147,0.465904179,0.46636707,0.468992429,0.470270437,0.471314352,0.473525547,0.473505138,0.477042976,0.477889443,0.477881726,0.475506755,0.480856908,0.480137026,0.479431236,0.482947955,0.485674306,0.484905964,0.484810307,0.48506036,0.488885627,0.487135707
