mean absolute percentage error,root mean squared error,R^2,mini child node size,tree depth
1.0618109346408326,5019.441134815169,0.634392399,5,5
1.1021102923428778,5093.935428056227,0.6276031133707913,5,5
1.0816011964269212,5055.111680985829,0.6327528701118499,5,5
1.0900335494898858,5098.041811725222,0.6305133956568505,5,5
1.0797758505974713,5102.642144907373,0.6232732506530538,5,5
1.0674456632915637,5024.604172010561,0.6355752702515494,6,5
1.09171472,4984.4522,0.6350437279679015,6,5
1.0742404652118398,5127.845769759466,0.6236794111302686,6,5
1.105416147184788,5199.545663475798,0.619528535,6,5
1.0960439399222075,5102.463764981593,0.6245459049128006,6,5
1.086688089900917,5120.872043845243,0.622677864,7,5
1.085716283063944,5061.700342763818,0.6309840473451165,7,5
1.0619481106818418,4935.844838165781,0.6461783349206005,7,5
1.0935611087263672,5172.113595412373,0.618880539,7,5
1.098215411364209,5135.681037260765,0.6213524304294377,7,5
1.0680003645438498,5032.9619007848805,0.6340167391495388,8,5
1.0759587579950025,5062.798016555182,0.6324467120127351,8,5
1.093150645780439,5075.675755799096,0.6308638561331158,8,5
1.0657079544948587,5082.602685674676,0.6318388565458533,8,5
1.0571344511549197,4969.814586,0.640598953,8,5
1.0801079898862367,5032.509566375813,0.6368545767223084,9,5
1.0516732493931111,4988.373347604976,0.6378628638722394,9,5
1.0856958603844769,5089.8735141878005,0.6313125298098857,9,5
1.0960453873376714,5165.067325945729,0.6219323131091888,9,5
1.061833303548481,4983.180076,0.6366570258155192,9,5
1.0731992688371643,5019.781837815766,0.6367906450217593,10,5
1.0842306551076637,5042.098358642566,0.633535023,10,5
1.0733287902160948,5048.227392354013,0.6335373129853742,10,5
1.066167628428761,5042.028658900414,0.6365955232502799,10,5
1.0661347182804686,5030.084074725797,0.6353258744258266,10,5
1.0668468327371299,5015.6503835062795,0.6383008923266184,11,5
1.0341245332596838,4972.647630155446,0.6464190177070641,11,5
1.0584170736665692,5015.984377210698,0.639971235,11,5
1.086543047450603,5076.362473042037,0.6293757277207429,11,5
1.071806024719198,5030.411613215341,0.6318273642934167,11,5
1.042893428610228,4958.802294874597,0.6483701258570235,12,5
1.0443323700131852,4952.272574029965,0.6445453837926174,12,5
1.0515461748357628,4919.83196,0.6513031707114139,12,5
1.0253570195587285,4975.47684,0.6507237474479857,12,5
1.039720080611936,4895.689609481822,0.6496418298828704,12,5
1.053434852784216,4968.807649140956,0.6471876674458752,13,5
1.0534902092617862,4971.9762511891395,0.6451139649070674,13,5
1.0739151285423352,5037.191341428211,0.6354032933818085,13,5
1.0391365601985443,4911.084891805311,0.6541126721366282,13,5
1.06597126,4995.298979244586,0.6366193285055917,13,5
1.0725657225141165,5043.764249627496,0.6354713360421599,14,5
1.0376259017700742,4986.773885,0.6470534713952907,14,5
