"adjusted R^2","mean absolute percentage error","mean signed difference","root mean squared error","mean squared error","mean absolute error","R^2","iteration","mini child node size","tree depth"
"0.8811232747735298","0.366899535480107","-1.1615779405725466","2874.7658815082655","8264278.873483995","1489.1806376776328","0.8811232747735298","0","21","14"
"0.8760388662332329","0.38109974172470806","-3.4994643490407826","2953.654718247717","8724076.194627","1517.0430152057475","0.8760388662332329","0","21","14"
"0.8845383639783704","0.3751404511426643","1.2718970800339244","2829.4922868319304","8006026.601241387","1497.9282210661463","0.8845383639783704","0","21","14"
"0.8871369833783125","0.3657418594804384","-2.8198423989235555","2788.6771418043177","7776720.201221898","1485.2998844349072","0.8871369833783125","0","21","14"
"0.8785675965509958","0.37179748758535325","1.2796819203076661","2904.8533901300707","8438173.218150165","1494.7785295585513","0.8785675965509958","0","21","14"
"0.8822559115996781","0.35600434095946304","-0.8679002115539038","2859.9310847829192","8179205.809707604","1475.1783834316939","0.8822559115996781","1","21","15"
"0.8858819709820276","0.35973763307956746","-1.809605083581399","2807.5257590961273","7882200.887988286","1472.8543149122163","0.8858819709820276","1","21","15"
"0.8793137492162848","0.36307451791325285","-0.304444182498422","2910.2156085071615","8469354.887998708","1480.0162944937717","0.8793137492162848","1","21","15"
"0.8833802741021359","0.35520733652200254","0.8250894544021284","2846.3553841123385","8101738.972665298","1472.0411302865625","0.8833802741021359","1","21","15"
"0.8791250384925146","0.36008770031337617","-4.636616974140367","2897.288284753659","8394279.404970799","1475.2632806074457","0.8791250384925146","1","21","15"
"0.881524839795409","0.3463950600902","0.19817243828475523","2882.5157981973","8308897.326857016","1450.9645387446908","0.881524839795409","2","21","16"
"0.8832956056942393","0.34565270889041616","0.6850716974173054","2849.1193934396106","8117481.318073694","1456.9491369611824","0.8832956056942393","2","21","16"
"0.8784815691521324","0.3470433654442844","-1.1312405257594675","2912.223733413346","8481047.073455967","1463.9863040346258","0.8784815691521324","2","21","16"
