"adjusted R^2","mean absolute percentage error","mean signed difference","root mean squared error","mean squared error","mean absolute error","R^2","iteration","mini child node size","tree depth"
"0.8895133685232064","0.36809110378682425","-2.5178510623608794","2775.3595194740647","7702620.462335311","1461.0190748171842","0.8895133685232064","0","14","14"
"0.8887647785612396","0.36702324419461835","-1.9728250254619917","2794.2729813952724","7807961.494555623","1472.2420762145462","0.8887647785612396","0","14","14"
"0.8861113382849735","0.36609291895438706","-4.57922220095207","2821.5571407269204","7961184.698387073","1459.012585754892","0.8861113382849735","0","14","14"
"0.8911051399290691","0.36956052866141464","-0.7587902688073035","2752.295459233734","7575130.294918632","1465.427809466561","0.8911051399290691","0","14","14"
"0.8925877793118863","0.3684714322815854","-2.1006648052872996","2707.6129371243514","7331167.817283158","1451.7666157513415","0.8925877793118863","0","14","14"
"0.8899452587904662","0.35456655203693555","1.3484124480972617","2762.47797230429","7631284.547466421","1431.0671566466538","0.8899452587904662","1","14","15"
"0.8879908494574504","0.35297229297285837","0.8995581426925229","2817.166045872366","7936424.530016142","1443.6558569830843","0.8879908494574504","1","14","15"
"0.9005327804993757","0.35264497980230614","1.0450774367089795","2616.0792636881692","6843870.713899233","1431.5208190683168","0.9005327804993757","1","14","15"
"0.8912035462009513","0.3543396052842267","3.4875667569849242","2751.545062140725","7571000.2289910065","1433.2971303733464","0.8912035462009513","1","14","15"
"0.888371663408325","0.3582092018672436","-3.589513266700512","2776.0579129396824","7706497.535995026","1426.8292314122307","0.888371663408325","1","14","15"
"0.8925674945558734","0.3396789260863359","-1.2350410680711146","2743.6293428601093","7527501.971002995","1413.723935141672","0.8925674945558734","2","14","16"
"0.8938917843532661","0.33974450747817136","-3.8248070862253463","2716.2218581397165","7377861.182635975","1412.4304433351306","0.8938917843532661","2","14","16"
"0.892999622433508","0.34258142483453224","1.9871224323889314","2722.3136702838833","7410991.719414508","1411.5558425304623","0.892999622433508","2","14","16"
"0.8931066960719904","0.341633701555469","0.3599508311012626","2729.7672546171243","7451629.264379913","1414.0786009518615","0.8931066960719904","2","14","16"
"0.8908072513194952","0.3429170850371739","2.2596896334109804","2746.0263764798547","7540660.860323082","1403.3427304288314","0.8908072513194952","2","14","16"
"0.8958013574134822","0.3318903467436086","-3.3640536477776766","2693.853105989984","7256844.556651886","1388.4003053247343","0.8958013574134822","3","14","17"
"0.8966872955935205","0.33170584928224706","0.9287537992750994","2685.7340087940124","7213167.165992755","1395.5246428328776","0.8966872955935205","3","14","17"
"0.8980855187984116","0.3283352264959072","-1.0687350466534327","2638.550856913045","6961950.624516564","1383.9783176368705","0.8980855187984116","3","14","17"
"0.8912619602667868","0.3306023241870216","0.9686868055622212","2767.621984208801","7659731.447475861","1398.5799241121265","0.8912619602667868","3","14","17"
"0.8882943127590385","0.3347066041775596","-4.380002815889427","2784.5502600220157","7753720.1505886745","1397.8927111715414","0.8882943127590385","3","14","17"
"0.8925164918582704","0.33077060522280294","-1.8657895033465408","2741.140597372327","7513851.774562719","1390.2517061682124","0.8925164918582704","4","14","18"
"0.8910719161685865","0.32202294775520424","-1.4311437509450862","2749.720148328699","7560960.894124801","1380.3527811049228","0.8910719161685865","4","14","18"
"0.8992740276000282","0.32484745396859127","-1.148309475906758","2640.7464139738045","6973541.622915508","1383.3220092352294","0.8992740276000282","4","14","18"
"0.8937665120073651","0.32662889480366336","-1.0702613292192167","2712.4037674635492","7357134.197750457","1391.757447955677","0.8937665120073651","4","14","18"
"0.8948887325025829","0.32543642358385727","-1.2760354943457872","2709.1190651695542","7339326.109265159","1383.4752458365188","0.8948887325025829","4","14","18"
"0.8982029813347676","0.3181242883804945","-2.8606762667243975","2657.0381946375755","7059851.967762906","1374.6258355246716","0.8982029813347676","5","14","19"
"0.8931100550190867","0.32111962236500213","-0.07659098653810156","2729.55466447752","7450468.666370986","1383.2409484916636","0.8931100550190867","5","14","19"
"0.8915198184358706","0.32044377279091457","-2.148915170706859","2758.767030905049","7610795.530808659","1376.8294086854476","0.8915198184358706","5","14","19"
"0.8944572061590855","0.3218046028257141","0.028146845227467993","2722.3406270229766","7411138.489539854","1373.3417802777212","0.8944572061590855","5","14","19"
"0.8960053759981434","0.3188419980705371","-4.780654718756692","2663.1044018188027","7092125.054986683","1373.1632213148853","0.8960053759981434","5","14","19"
"0.895456472515066","0.31660914086891645","-4.756721979639769","2687.7876186838803","7224202.283150364","1368.2358939430153","0.895456472515066","6","14","20"
"0.8996579641117823","0.31767609479236303","-2.4021361252363165","2636.676705085886","6952064.047142564","1370.1556922892473","0.8996579641117823","6","14","20"
"0.8889229345264736","0.32363439550945344","-5.9675337552718455","2796.636691553152","7821176.784541361","1389.8236886263987","0.8889229345264736","6","14","20"
"0.8926483237274548","0.3156981056624833","1.7328828646660004","2736.603948151834","7489001.169040206","1369.9591998687133","0.8926483237274548","6","14","20"
"0.8982234204625941","0.3137938523757909","1.0918960628793706","2651.364713420224","7029734.843569906","1362.5743171689032","0.8982234204625941","6","14","20"
"0.8957653516126931","0.3127406413307818","-1.448775848456571","2705.788490170185","7321291.353537451","1368.8204880000237","0.8957653516126931","7","14","21"
