"mean absolute percentage error","root mean squared error","R^2","# of layer","#of node","mean absolute percentage error (#1)","root mean squared error (#1)","R^2 (#1)","iteration","# of layer (#1)","#of node (#1)"
0.5335596909960811,3232.4609888906107,0.8504483961807467,2,3,0.47915015268387184,5206.677122202432,0.6022722892537251,0,2,3
0.553376045567289,3101.004672761968,0.8623648591623447,2,8,0.4802238384837025,5113.372435718424,0.616399284446563,1,2,8
0.47228540899833493,2889.0361577477192,0.8805378174729692,2,13,0.43609457734603274,5044.7112692345645,0.6266319203457561,2,2,13
0.3996946654450458,2783.987191088848,0.8890674603050975,2,18,0.41491185611254056,5037.2477662040465,0.6277358774500221,3,2,18
0.4227056925463147,2826.591382263637,0.8856462130348131,2,23,0.4194296512097555,5001.420026661137,0.6330125488226217,4,2,23
1.0176659345853296,5550.000813882124,0.5591299628169064,7,3,0.6965408467544574,5964.7870401907185,0.4780193040251516,5,7,3
0.4715254765136837,3190.1252849198663,0.8543401129240416,7,8,0.4474852514785127,5153.617063321938,0.6103372892550478,6,7,8
0.461310273091906,2947.0392449250794,0.8756927872120439,7,13,0.447476935996557,5100.119606212807,0.6183851389330308,7,7,13
0.3756488828222509,2813.9314554428524,0.8866682698713098,7,18,0.4223629958025483,4987.653553699558,0.6350300437662373,8,7,18
0.3437118786401136,2858.205896301048,0.8830738871796504,7,23,0.4003128771785271,5054.46352144181,0.6251869618605572,9,7,23
0.8629903317235289,7073.416765991994,0.283884646231663,12,3,0.6904188684256182,8315.747639220841,-0.014535291599832023,10,12,3
1.001339598338779,4391.533581683849,0.7239696052443434,12,8,0.7075079807300865,5732.843216227656,0.5178250034624635,11,12,8
1.0187065494264647,4138.282644497099,0.7548878781280386,12,13,0.7157290948946964,5678.090199906581,0.5269912973448257,12,12,13
0.4289154795147559,3561.920113114059,0.8184096189278501,12,18,0.42592442376317147,5319.279471512425,0.5848833302722127,13,12,18
0.6004430409524789,4434.074455792158,0.7185958790366569,12,23,0.48744064823766176,5762.908517853598,0.5127543083552737,14,12,23
2.1816688301051483,8358.632056891649,0.00001172767294654875,17,3,1.3759374578867236,8707.449804996624,-0.11236295167285815,15,17,3
2.1773203695911425,8296.232129447726,0.014886477510731022,17,8,1.3723421562118114,8658.59405178813,-0.09991547952205893,16,17,8
0.882215211965141,5880.062464933184,0.5051331417158089,17,13,0.6219659519380264,6842.188711596695,0.31316146557185665,17,17,13
0.9710858337352565,5213.063010112853,0.6110350765042849,17,18,0.6780260711155773,6298.011169839389,0.41806911169393157,18,17,18
0.9593044151362484,5945.749856029951,0.4940148648140854,17,23,0.6577630787717292,6808.727923530265,0.3198628192032593,19,17,23
