"mean absolute percentage error","root mean squared error","R^2","iteration","mini child node size","tree depth"
0.44812963849665693,2984.62859056386,0.8719133266904702,0,5,18
0.4453345741639325,3021.5669381818743,0.8680897072511818,0,5,18
0.44904847746194343,3014.613561554862,0.8691896695079453,0,5,18
0.45051829548087013,3032.123635624653,0.8685573446934163,0,5,18
0.4495520921007931,3041.4465459032767,0.8668075719589723,0,5,18
0.4463484715947423,3058.2046308681483,0.8668693715990816,1,5,19
0.4475487665867896,2987.9245313232154,0.871105357274938,1,5,19
0.4525316342456529,3007.230678016186,0.8706012938084834,1,5,19
0.4460586883305701,3035.853482106322,0.868090407278018,1,5,19
0.4460809143950215,2966.5806506024496,0.8712585813124856,1,5,19
0.43830863578266743,2885.708748794527,0.8771032722856876,2,5,20
0.44744012676260025,3062.6416785501942,0.8659787480361368,2,5,20
0.43888406767457333,2997.173091459573,0.870747926556946,2,5,20
0.4480050072932666,3048.989227449074,0.8680077828446457,2,5,20
0.439157018763843,3046.534731626085,0.8673140943127811,2,5,20
0.44545378168585636,3033.22393003525,0.8677255502538685,3,5,21
0.4393116375696214,3065.0082367237014,0.8666909981975407,3,5,21
0.43762657896683066,2968.6264155440176,0.8724768572114907,3,5,21
0.439595081565484,3016.0835206716306,0.868980305507887,3,5,21
0.4344537160377899,2920.41559829784,0.8765119055373399,3,5,21
0.4359735608946465,3047.950843121362,0.8668350035159331,4,5,22
0.43761458889067417,2914.5472560811945,0.8764906862754245,4,5,22
0.4384682526744128,3018.74601567054,0.8686885313832873,4,5,22
0.4385796119669383,3043.7261789834315,0.868473707189959,4,5,22
0.4391980127677218,2995.2089251537705,0.8704584364423059,4,5,22
0.43875951383259904,2995.7536223804145,0.8713619655081314,5,5,23
0.4399832124577148,3041.5964887695122,0.8691379282457079,5,5,23
0.4449310260513953,3039.8384698789255,0.8679933306234702,5,5,23
0.449382602949339,3054.3962347620622,0.8660456387646467,5,5,23
0.44218092138656034,2930.6373657831305,0.8727993829658546,5,5,23
0.4379249889275223,3029.914455764728,0.8682915039246044,6,5,24
0.4416261409475049,2972.958230988589,0.8728613006259327,6,5,24
0.43676399286926637,3005.9183477413785,0.8699948042856165,6,5,24
0.4365671874730745,3035.7409612321826,0.8690526380229574,6,5,24
0.4392651004730575,2977.3426299627477,0.8706442669635968,6,5,24
0.44329511925754395,3022.217427169828,0.8688578638099942,7,5,25
0.43684101514169493,2997.939336191362,0.8703684284727566,7,5,25
0.4468957139573267,2970.3487003262985,0.8715079226503373,7,5,25
0.4432494526096441,3029.796777261438,0.8695748213324519,7,5,25
0.4383747767583274,3031.9130163567543,0.8679182277353479,7,5,25
0.4435704657213558,3010.1861108601893,0.8696295456645057,8,5,26
0.4411881439122491,2993.2596541694215,0.8708460870061645,8,5,26
0.43702744517117637,3006.1381398854705,0.8704508381465947,8,5,26
0.44499122832859983,3057.608606803124,0.8653921155283246,8,5,26
0.44366638876937176,3002.6572327562817,0.8703601330071774,8,5,26
0.4410231993084217,3070.6539193419703,0.8653367691537905,9,5,27
0.4350689918390962,3006.975344322888,0.8700972821060109,9,5,27
0.4452326484764354,3037.1245911277124,0.8671592562178864,9,5,27
0.4458948385344531,2956.9778786053903,0.8741929105974873,9,5,27
0.43909793220245363,2978.7143867657487,0.8715319949084334,9,5,27
0.439182967525963,2995.477178755339,0.8698424076016286,10,5,28
0.43351759182606037,3006.729749399173,0.8710923677490617,10,5,28
0.4453060695609376,3010.8077436428,0.8682458621347785,10,5,28
0.4375470288143196,3030.393138622066,0.8691074626347595,10,5,28
0.43827138025374857,2989.2994444201872,0.8716007787063891,10,5,28
0.43918303425541105,2973.294869814749,0.8720766884111578,11,5,29
0.43896795035147934,2994.117409030313,0.8711778497804616,11,5,29
0.4402479036564862,3012.548768695791,0.8697789616458198,11,5,29
0.4376285820332772,3044.9228196706795,0.8673617744650366,11,5,29
0.4383024742484511,3009.903330297227,0.8693441546508031,11,5,29
0.4397101427424885,3027.2236896922354,0.8676803934210404,12,5,30
0.4380009996435931,3030.020846955781,0.8694387086751634,12,5,30
0.4417562063237991,2968.335114164458,0.8724050495148057,12,5,30
0.4463914479457809,3029.008393132174,0.8691195000291101,12,5,30
0.4408986100342517,2979.28243879754,0.8711650980452884,12,5,30
0.4530478343178096,3062.3786029275266,0.8658555327877029,13,6,18
0.4542475821880076,3096.9723919439134,0.8627009963237047,13,6,18
0.45526053959573687,3064.7294461593324,0.8643454367093449,13,6,18
0.4452525756901732,2983.451041699181,0.8706160863742282,13,6,18
0.4463725076080438,3048.745634974637,0.8668920746219672,13,6,18
0.4464053461881243,3047.7308024533736,0.8664421073052118,14,6,19
0.4504606952860001,3037.0794311058653,0.8645826950436291,14,6,19
0.45087804891131095,3064.69261737428,0.8660182740258505,14,6,19
0.4432478157925848,3091.934350155846,0.8642357805696063,14,6,19
0.4492883706123689,3046.290778041726,0.8663800120956655,14,6,19
0.4417423945195983,2941.682067612153,0.8740979782072258,15,6,20
0.445882262428483,3033.823893387932,0.8669204802273848,15,6,20
0.4477783554703417,3085.759070102607,0.8636893453965069,15,6,20
0.4420201025425301,3091.8211916745076,0.8637674803716575,15,6,20
0.44112051265139096,3101.203835298024,0.8620368768079947,15,6,20
0.4443899773861776,3058.0002558158417,0.8660710929532598,16,6,21
0.44117563647831765,3026.988035165908,0.86686628017118,16,6,21
0.44603150786189055,3089.063895392212,0.8635766100873444,16,6,21
0.4467524073088135,3058.7061633198273,0.8664040432517698,16,6,21
0.44765273895205,3073.6043001047624,0.8630976629075433,16,6,21
0.43891756020844164,3050.4625144068204,0.8670112358269054,17,6,22
0.4513346552607338,3055.4880152909086,0.8654163396777285,17,6,22
0.44172446190319864,3014.862871896351,0.8691948680804951,17,6,22
0.4444788487422427,3078.9425981541913,0.8641835688998742,17,6,22
0.4413903308861276,3046.3577454760716,0.865508403058159,17,6,22
0.4447712212328908,3094.8652315808954,0.8619119287975423,18,6,23
0.43862594852933817,3034.6518645137244,0.8678020069583645,18,6,23
0.44549689299074535,3091.37785000965,0.8640192329867254,18,6,23
0.4447941263047197,3025.3934193674745,0.86816315941806,18,6,23
0.43992938769263434,2987.8929101871786,0.8704274589005248,18,6,23
0.4376469338732151,3033.492501381423,0.868367860213948,19,6,24
0.4477950799703053,3073.4342152635018,0.8645159355634446,19,6,24
0.43991489331560774,2966.1306011987967,0.8723968731826665,19,6,24
0.4387111506002879,3063.0648016708165,0.866790770333669,19,6,24
0.441949300006485,3057.462278979566,0.8637702403966336,19,6,24
0.43975851017145406,3050.85514903782,0.8666118887902897,20,6,25
0.4431303927558097,3096.2223491128475,0.8635173423608672,20,6,25
0.44953711839338883,3050.4707376450338,0.8659302096440251,20,6,25
0.4455632656386044,3062.3474648335687,0.8653041464176223,20,6,25
0.43743239365274467,2999.8733840485233,0.8687743951573945,20,6,25
0.44192701397262574,3017.8327079809546,0.8683120365627608,21,6,26
0.44164196475474077,3081.4690842917803,0.8643849545391311,21,6,26
0.4357464488517668,3059.0469405621975,0.8653472200553236,21,6,26
0.439576461555768,2979.6819065017544,0.871270422521576,21,6,26
0.4455136845172737,3085.3932161359044,0.8639793163020415,21,6,26
0.44105152354487753,3013.917426059442,0.8680606852248566,22,6,27
0.4522809866280901,3115.7806503307866,0.8625449141594805,22,6,27
0.443009543162713,2973.4422113865226,0.8727942910280426,22,6,27
0.4414411760619354,3092.0863394290477,0.8638885755466306,22,6,27
0.4445669071826896,3063.8866077490716,0.8627605978858911,22,6,27
0.4422221251615899,3048.2007342856823,0.8652756806574176,23,6,28
0.44255641631730935,3017.9746727097913,0.8681121959790553,23,6,28
0.44403631370802493,3092.410517086074,0.8632513220508403,23,6,28
0.44851545237823615,3077.094769001713,0.864843893262125,23,6,28
0.4387458575166215,3009.775768598512,0.8698729753131103,23,6,28
0.4475533608587491,3101.9691537481717,0.8615493467961028,24,6,29
0.44340064450128064,3020.2436736971576,0.8695231523231807,24,6,29
0.4382809019586149,3010.9805709750167,0.8696222607142947,24,6,29
0.43807162741956907,3077.9228030330373,0.8658615646337804,24,6,29
0.4404402794962464,3002.3859171438958,0.8675374017808608,24,6,29
0.4440527552602231,3050.636882350441,0.8661778203209844,25,6,30
0.4392271310252836,3078.241943323415,0.8655455695631074,25,6,30
0.43597234854844963,3057.3599543488904,0.865195385425579,25,6,30
0.44070032214302046,3017.4525671002384,0.8693051900956283,25,6,30
0.4389280872470643,2989.7212531828045,0.8697118204370847,25,6,30
0.4465294805842071,3027.1490549038044,0.8675281351326651,26,7,18
0.4527728582371221,3134.62958863478,0.8602932129672998,26,7,18
0.4568283883513246,3112.5249286316225,0.861525026572207,26,7,18
0.45585033444691453,3064.1085554267333,0.8639607362489748,26,7,18
0.45648784926841723,3107.070931705862,0.8603878821146697,26,7,18
0.44970749883101563,3155.1496345524442,0.858092256889998,27,7,19
0.45458135963434226,3064.1998046168096,0.8645571465017948,27,7,19
0.4482386398160131,3092.4705083523513,0.8637546791730835,27,7,19
0.45269245726210017,3069.712009083186,0.8643487659703082,27,7,19
0.4427510807414479,3032.56464533196,0.8657369590072086,27,7,19
0.44725793524007135,3064.2956570781243,0.8640410724358347,28,7,20
0.44743353395073293,3129.6554723871836,0.858783257336873,28,7,20
0.44888337798898725,3062.0579552317517,0.8662341142695675,28,7,20
0.45496893405228644,3119.06225434214,0.8607635242303932,28,7,20
0.44953687051684466,3059.0209134990328,0.8648547156988722,28,7,20
0.44510179719192117,3031.071864807848,0.8664743919268504,29,7,21
0.45256898034929616,3066.583318163649,0.8638957287457705,29,7,21
0.44962870847132214,3136.59191401965,0.8588349546020819,29,7,21
0.4475120164350565,3091.5238970884257,0.8631297079337853,29,7,21
0.4480078595868119,3093.3925073517216,0.8637018386407722,29,7,21
0.4437210125190578,3110.1904256395783,0.862123139660636,30,7,22
0.4504345771958982,3152.5972359991274,0.8585881873206539,30,7,22
0.45077236696737527,3073.1112861783845,0.863626425155316,30,7,22
0.4469801539175551,3004.3825692539936,0.8672724929482811,30,7,22
0.44696913776964725,3126.350632796726,0.860230388030506,30,7,22
0.443987198569759,2999.9934170904644,0.867634137515394,31,7,23
0.448299675363542,3114.7195707338155,0.8618545920802377,31,7,23
0.45333968560062743,3126.082631425323,0.8607722508730232,31,7,23
0.44368777251150215,3132.2442110747106,0.860456597098157,31,7,23
0.4421551933259835,3046.636269072895,0.8653049994301225,31,7,23
0.44385173147826085,3095.0552006709013,0.8632462897065879,32,7,24
0.44624977553142525,3072.20379906203,0.8641128951321836,32,7,24
0.4490898791321055,3143.655169057575,0.8600174982828184,32,7,24
0.449929882608726,3129.408212214236,0.8602894248026075,32,7,24
0.44580703457535675,2965.490235440213,0.869575516477514,32,7,24
0.44465596547644665,2984.7130247945906,0.8709206006980336,33,7,25
0.44694834158581004,3136.2949215532694,0.8592043342354039,33,7,25
0.44989502538961507,3134.4543845566504,0.8595296123231828,33,7,25
0.44055705344160034,3038.8181561578353,0.866542174046165,33,7,25
0.4438710897933546,3125.9191295754727,0.8596380009692683,33,7,25
