"mean absolute percentage error","root mean squared error","R^2","iteration","mini child node size","tree depth"
0.3473708636435525,3066.318589392465,0.8647660206568824,0,24,22
0.3486837855593663,3075.327456709543,0.8639702164142831,1,24,23
0.3487466818926382,3065.7062205524094,0.8648200299213656,2,24,24
0.3474477777774743,3066.006002692279,0.8647935913006088,3,24,25
0.34735256537673037,3068.9064800665997,0.8645376566257301,4,24,26
0.3473143048572891,3072.2427331039935,0.8642429703516863,5,24,27
0.34649114823228533,3059.0759490958553,0.8654041111283712,6,24,28
0.3503750992234765,3093.217401672695,0.8623829749230312,7,24,29
0.3491561861673521,3076.6039614846213,0.8638572666822714,8,24,30
0.3489524217147738,3090.486266024264,0.8626258837049084,9,25,22
0.348718626144368,3092.4861481901953,0.8624480340641717,10,25,23
0.3494717447822359,3090.1082099887344,0.8626594913205012,11,25,24
0.34833216214182944,3099.849847592034,0.8617921881149577,12,25,25
0.34779620439319675,3079.9503991736,0.8635609393323337,13,25,26
0.34904110771606794,3103.5828362988873,0.8614591146571148,14,25,27
0.34824061043298227,3094.4749179437645,0.8622710585571619,15,25,28
0.34900612776133116,3083.8186199220445,0.8632180066460033,16,25,29
0.348061993657484,3089.6020506567543,0.8627044803513224,17,25,30
0.3488026865196175,3091.300297025764,0.8625535057634603,18,26,22
0.3503593820604286,3092.590135156851,0.8624387833503429,19,26,23
0.3495293951457869,3103.130287085149,0.8614995144150598,20,26,24
0.3485141576149783,3088.387023452427,0.8628124457054386,21,26,25
0.3500815340345616,3107.4700495914612,0.8611118545665639,22,26,26
