"mean absolute percentage error","root mean squared error","R^2","iteration","mini child node size","tree depth"
0.32460409370259474,2871.3761511569337,0.8824494013339984,1,24,23
0.3276513106011755,2833.979243285033,0.8840386846033894,1,24,23
0.3286913786019604,2871.1385244653356,0.8823935362847645,1,24,23
0.3289474836925766,2848.136665299541,0.882846155735047,1,24,23
0.3302988295868048,2918.574683252696,0.8763644646312633,1,24,23
0.32949655818241197,2854.810070885069,0.8836444930465958,2,24,24
0.32634184811846634,2852.6420734808316,0.8830238614049897,2,24,24
0.327808463602047,2831.50289526068,0.8842292963653974,2,24,24
0.32761365001460707,2920.3276783657543,0.878002683684728,2,24,24
0.32829916376364265,2858.7175500761364,0.8813225158326174,2,24,24
0.32533507509764664,2873.5679418449304,0.8818289787069125,3,24,25
0.32591613684239534,2872.529291226425,0.8816175004169078,3,24,25
0.33009057571342537,2901.6974572066506,0.8792190138969687,3,24,25
0.3277445778332016,2868.3267548994727,0.8819091174888991,3,24,25
0.3289566710975794,2836.6730007123997,0.8828184331065507,3,24,25
0.32726885923343807,2894.5830746090874,0.8794289487254381,4,24,26
0.3284720580405932,2809.3689765376585,0.8862643193962437,4,24,26
0.3285039131636728,2906.839824336907,0.8786738516846712,4,24,26
0.3283446688361057,2844.982578334341,0.8843797073166643,4,24,26
0.32675586302059084,2865.5441752761462,0.8811602595533661,4,24,26
0.3290881338731885,2936.1322371382244,0.8772016290836435,5,24,27
0.32804523840948385,2863.1597069163513,0.8826522591714971,5,24,27
0.32668820376292446,2859.7306198096117,0.8826141705397569,5,24,27
0.3258323998468332,2867.5454670318004,0.881554395596414,5,24,27
0.3273473538103403,2812.68705403318,0.8844704140214403,5,24,27
0.3261971802338994,2897.1569704402827,0.8795078327788669,6,24,28
0.326975622397709,2910.5642562520234,0.8790936231702253,6,24,28
0.32705468966758233,2849.3783918750473,0.8828023350527767,6,24,28
0.32637121147476483,2833.147589050278,0.8842560878701542,6,24,28
0.3272161810457819,2838.2028172735895,0.8837247884733318,6,24,28
0.3265450486581275,2875.5152071222733,0.8811254703774426,7,24,29
0.3278112643614111,2869.3391623299726,0.8811830874094515,7,24,29
0.3279080534662567,2853.33042061165,0.8837045118618845,7,24,29
0.3287373301131367,2843.935847697919,0.8827598613269043,7,24,29
0.32551324872415827,2880.502539679631,0.8811052803378775,7,24,29
0.3270628559989013,2886.9329812895367,0.8799319111096732,8,24,30
0.32402076182219886,2831.483721243789,0.884384933389674,8,24,30
0.32882290563357364,2899.7483732473697,0.8790350363173567,8,24,30
0.3294624581776308,2889.3208859769584,0.8806009838379306,8,24,30
0.3266266689892839,2825.439466570504,0.8850359334323943,8,24,30
0.3298185035843058,2847.517475137822,0.8825779365224861,9,25,22
0.32963990425199263,2888.058513185268,0.8811813624674533,9,25,22
0.3291574617609149,2883.9822145669364,0.8795570846032487,9,25,22
0.33396146401952326,2936.5591562953605,0.8777976045931573,9,25,22
0.32634141219463725,2854.4504737452603,0.8814933950491944,9,25,22
0.3293310767191987,2898.0768139017423,0.8794466905210648,10,25,23
0.32863247643280846,2902.6013679882603,0.8795781018922614,10,25,23
0.3312974737197844,2858.7667190087204,0.8828372916557705,10,25,23
0.3285677864498958,2896.2969533370037,0.8796223996402449,10,25,23
0.32821003662316983,2848.5210492276437,0.8816450350304168,10,25,23
0.32855271152844584,2837.3848898233523,0.8834918128840796,11,25,24
0.32896863245833935,2903.2288035430006,0.8800909093109193,11,25,24
0.32907616864106487,2905.3769639832394,0.8793032924391644,11,25,24
0.3315687736143834,2946.078384237717,0.8766432993082596,11,25,24
0.32911140470645867,2824.7088482205736,0.8825510685151232,11,25,24
0.3308291784333266,2895.761128327014,0.8782608191654027,12,25,25
0.3274634381302211,2881.902358431588,0.8811177091962433,12,25,25
0.3291094656148926,2783.889914845976,0.8877350679843572,12,25,25
0.3323468129741387,2962.312729043265,0.8765788430637599,12,25,25
0.32693331153402727,2871.0819767871126,0.880099017241598,12,25,25
0.3282830608055068,2865.55746809815,0.8823867481732792,13,25,26
0.32754828650220363,2906.2604939034727,0.8795389067094719,13,25,26
0.3313476474495253,2832.682615253113,0.8843721617653018,13,25,26
0.33045978920523816,2924.2698018996484,0.8774370753965202,13,25,26
0.3265252929582731,2863.9558421086676,0.8803083978590256,13,25,26
0.3304313021661783,2955.8283454458283,0.8764166053559871,14,25,27
0.32838443897945796,2946.5726426732062,0.8769594802083361,14,25,27
0.32871765444342976,2927.547461955107,0.8784022853497505,14,25,27
0.3263340328323032,2822.9470214494936,0.884503938944201,14,25,27
0.3289701795831235,2729.255766376719,0.8886342951963957,14,25,27
0.3295075489235224,2852.0776820537967,0.8829963318471941,15,25,28
0.32929024975769533,2823.101359879593,0.884448456335672,15,25,28
0.33007196138710293,2945.265962465031,0.8767877727613393,15,25,28
0.32719210584840713,2920.646832935238,0.8786405041392101,15,25,28
0.3269583668562308,2863.8732916304502,0.8801651678061413,15,25,28
0.3294248783754713,2922.324936364062,0.8778336496034803,16,25,29
0.3302754303045471,2832.1849305716582,0.8830940098559451,16,25,29
0.329741156227378,2920.288449466048,0.8783769648349212,16,25,29
0.3276548248042604,2805.4510320116847,0.8863477537853891,16,25,29
0.32921454181874427,2933.151763236575,0.8766397878089057,16,25,29
0.3281606978316473,2885.4983374526764,0.8800645782039708,17,25,30
0.33015444219761114,2928.258946735862,0.8775600813984631,17,25,30
0.32660356500880355,2775.2700440184667,0.8878261674134751,17,25,30
0.33041711269145374,2967.0282866848197,0.8750683698600393,17,25,30
0.32869844088900435,2840.3619225280545,0.8831611447925212,17,25,30
0.3287286866554242,2872.4064155765777,0.8800161878372724,18,26,22
0.33033673468168834,2892.9861853773978,0.8788865180441414,18,26,22
0.3333510445853735,2965.0226000648063,0.8751503335432075,18,26,22
0.3344267308149058,2852.5188166252206,0.8832680264291459,18,26,22
