"mean absolute percentage error","root mean squared error","R^2","# of layer","#of node","mean absolute percentage error (#1)","root mean squared error (#1)","R^2 (#1)","iteration","# of layer (#1)","#of node (#1)"
0.5102929304265538,3275.3418784543337,0.8464542618642068,2,3,0.46108983567989725,5219.138930197657,0.6003661454116214,0,2,3
0.5686174282370732,3150.567077492506,0.857930140431965,2,4,0.48386199903933447,5131.862080526024,0.6136201149853938,1,2,4
0.5187172498113195,3122.638109221838,0.8604378017211516,2,5,0.46733954047300497,5128.373109147783,0.6141453084090712,2,2,5
0.5264600176713573,3049.7223766496863,0.8668794501170387,2,6,0.4809013339678125,5159.656169719025,0.6094235258492688,3,2,6
0.5118667469555714,3072.8231415867576,0.864855112833719,2,7,0.45684530687465247,5116.456025394517,0.6159364885592212,4,2,7
0.5104841805127524,3093.999171512126,0.8629860217427131,2,8,0.460413023724684,5156.172139254722,0.6099508171493007,5,2,8
0.4191379934258715,2948.3616957978084,0.8755811992401825,2,9,0.4241294273382742,5098.560515357742,0.6186184202461725,6,2,9
0.4386984994622802,2944.40323861748,0.8759150632144951,2,10,0.4279447130109126,5047.708628325501,0.6261881087517954,7,2,10
0.4534922514421789,3326.557886313837,0.8416147769547184,3,3,0.4414283689263404,5212.862730260564,0.6013267153131301,8,3,3
0.5634973052953276,3357.1032512974866,0.8386927499038545,3,4,0.4867622038328817,5193.1224914623745,0.6043404163217445,9,3,4
0.4361103449560112,3091.342661565438,0.8632212013401159,3,5,0.43732795306440253,5116.80461679547,0.6158841531936479,10,3,5
0.5139904019883109,3136.9924383213274,0.8591517569422784,3,6,0.46816118222069253,5139.712199325591,0.6124371339104278,11,3,6
0.378079086281346,2959.648034007923,0.87462682490362,3,7,0.41512295809389704,5098.792355078753,0.6185837353938242,12,3,7
0.45378445338278817,3021.5175802955596,0.869330345968545,3,8,0.435425140139481,5070.337735134602,0.6228289646554528,13,3,8
0.45047334539930867,2960.614993802488,0.8745448890638359,3,9,0.4360776590184744,5067.89110569557,0.6231928753708448,14,3,9
0.5097954358166553,2991.7509836464037,0.8718922583558659,3,10,0.4625353104235645,5074.959229021391,0.6221410862064456,15,3,10
0.591533153108212,3483.301232241034,0.8263372967074493,4,3,0.5152293416439062,5290.299172123833,0.5893942547975262,16,4,3
0.5649312036341937,3559.362025999592,0.8186703531352917,4,4,0.48801148030299746,5324.735858258485,0.5840312604320306,17,4,4
0.4276471390438274,3223.937686934309,0.8512360270058974,4,5,0.44185008083945093,5183.728627660077,0.6057705426489469,18,4,5
0.5071672853513118,3224.1980754085794,0.8512119955313293,4,6,0.4643858090377108,5194.078806251825,0.6041946812842902,19,4,6
0.511223674871384,3086.0516007658084,0.8636890146379607,4,7,0.4660960411642749,5133.147198492774,0.6134265766959607,20,4,7
0.5054530553527963,3020.16898621238,0.8694469635233868,4,8,0.46229350176907885,5133.076429963798,0.613437235671002,21,4,8
0.5010131691074218,3011.4493711651926,0.8701997220036141,4,9,0.4617844470679003,5072.516788302457,0.6225047052514467,22,4,9
0.4484380145917315,3038.9303112067646,0.8678199316277737,4,10,0.43698228631647673,5110.651326664353,0.6168074462443867,23,4,10
0.4344203393665346,3469.3187869817098,0.8277287098867636,5,3,0.4350491487002709,5284.216580193228,0.5903379108431082,24,5,3
0.4620592621390702,3706.765008412603,0.8033406499036962,5,4,0.45391976403915474,5384.52102342195,0.5746379791808363,25,5,4
0.5429487603456464,3297.165066672856,0.844401333749818,5,5,0.47349302582120956,5139.31541307072,0.6124969713784775,26,5,5
0.42528477667321946,3158.342107109135,0.8572280697813106,5,6,0.43292246687299657,5150.100895942537,0.6108688195953168,27,5,6
0.583290817007331,3222.292535804929,0.8513878145388213,5,7,0.4945627508045004,5157.073967357879,0.6098143639561799,28,5,7
0.5602790096684018,3040.833546169055,0.8676543151253977,5,8,0.49287934744040124,5088.134450690841,0.6201766025672573,29,5,8
0.46179694728600923,3114.278866380537,0.8611840122887527,5,9,0.4407133864475004,5130.666709684395,0.6138000938895167,30,5,9
0.4556280042773342,2998.7498912350334,0.8712921662890183,5,10,0.4404828691100501,5047.3233125614215,0.6262451762759517,31,5,10
0.4379914676131715,3227.4890321856897,0.8495289751680802,2,3,0.394564038313896,4049.9437359306285,0.7680529535390367,0,2,3
