"mean absolute percentage error","root mean squared error","R^2","iteration","mini child node size","tree depth"
0.371836105751949,2500.1291704282125,0.9090303202841211,0,5,14
0.3518041188704525,2500.346345623604,0.9106185381244069,1,5,15
0.34638080096478735,2487.284476508969,0.910806057477758,1,5,15
0.3501384308515778,2457.6637367896974,0.9126313470905916,1,5,15
0.35097511732553843,2462.650648850707,0.9133460307372165,1,5,15
0.34950731878784935,2522.783192995601,0.9080305166128992,1,5,15
0.3319994801312009,2442.114385356278,0.9143478063206149,2,5,16
0.3377878437635256,2400.726235193071,0.9168322562162953,2,5,16
0.3317799338270618,2455.036666916466,0.9136631638523758,2,5,16
0.3265785909182709,2463.561447248116,0.9135773846227669,2,5,16
0.3304780776833408,2390.7157192265286,0.9167609238908336,2,5,16
0.31548677320771035,2368.9189572586665,0.9191559435752582,3,5,17
0.31839258254282626,2411.0644288612552,0.9167813379299999,3,5,17
0.31178259298575106,2410.327402634787,0.9173599333515667,3,5,17
0.32035475747283204,2430.8169090369643,0.9152199041909488,3,5,17
0.3164971429972074,2320.354761401059,0.9212406326597735,3,5,17
0.30675392052839806,2329.7971394998526,0.9215647894420428,4,5,18
0.3030394797722377,2414.1937529838547,0.9178032856041716,4,5,18
0.30912346496305787,2427.2497767374894,0.915842831572657,4,5,18
0.3015403524923927,2353.2114564952544,0.920513328204149,4,5,18
0.3070592353381583,2303.280258482953,0.9218055214250871,4,5,18
0.3712724477720246,2569.531364863159,0.9060664096788795,0,5,14
0.37036302443154034,2528.562349583884,0.9090745926685146,0,5,14
0.36725780474783937,2536.1609595195287,0.9079662129990934,0,5,14
0.3666132357169028,2464.2814737902268,0.9111899649484312,0,5,14
0.36766046207180425,2527.698063222306,0.9070738256163292,0,5,14
0.34838212239379696,2486.2520259994176,0.9112932758240562,1,5,15
0.3489467330928379,2403.9664409800002,0.9170070646536834,1,5,15
0.34883336299633644,2509.703647392643,0.9104697582235056,1,5,15
0.34929851743334844,2485.583707477052,0.9113409273382787,1,5,15
0.34505747615163285,2414.2119979605945,0.9146354337865543,1,5,15
0.3299994555697331,2444.705431299241,0.9144755161646909,2,5,16
0.3314391424046463,2440.062185982662,0.9151169489499658,2,5,16
0.33120904462515,2413.5714695417737,0.9161585678576276,2,5,16
0.33112112886616796,2458.7012532542944,0.9139719166560185,2,5,16
0.3273086702042345,2305.394037619877,0.9216724005698802,2,5,16
0.3171140503952959,2412.110221172237,0.9166655412231753,3,5,17
0.3127126194003765,2355.0571471173753,0.9209315482680315,3,5,17
0.3167488092049079,2367.643300758899,0.9191006293066801,3,5,17
0.31725950239022027,2417.0304074594087,0.9162507790315848,3,5,17
0.3167654839201369,2327.8627098028865,0.921025809019512,3,5,17
0.30551799210902564,2332.081066138951,0.9215832914881831,4,5,18
0.3058583676913532,2380.371210586968,0.9188099897201947,4,5,18
0.3031185382614399,2341.4963500592003,0.9220489091038692,4,5,18
0.30589712332293945,2376.7538487530587,0.9186381622521399,4,5,18
0.3058329914971936,2348.784162814565,0.919722713414858,4,5,18
0.2939846808005718,2371.438988426322,0.9192734252696599,5,5,19
0.2956802142912586,2337.9402756798454,0.9215944420108656,5,5,19
0.29834878371976226,2327.960624445133,0.9217276000607513,5,5,19
